fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
74.0,car,0,1,680,552,936,727,,0.0,0,0,0,0,
74.0,car,0,2,920,548,1451,828,59836KZ,0.5694045311989696,434,205,503,230,59836KZ
74.0,car,0,3,229,525,317,596,,0.0,0,0,0,0,
75.0,car,0,1,681,552,936,728,,0.0,0,0,0,0,
75.0,car,0,2,921,547,1452,828,5980X2,0.22518140175850693,437,205,499,232,5980X2
75.0,car,0,3,229,522,318,596,,0.0,0,0,0,0,
76.0,car,0,1,921,547,1452,828,598302,0.5500633291576077,436,206,498,232,598302
76.0,car,0,2,680,552,936,728,,0.0,0,0,0,0,
76.0,car,0,3,228,524,320,597,,0.0,0,0,0,0,
76.0,car,0,4,318,490,594,722,5277LYV,0.5957005481616029,150,159,217,179,5277LYV
77.0,car,0,1,680,552,936,728,,0.0,0,0,0,0,
77.0,car,0,2,921,547,1451,828,59850XZ,0.293963828259458,427,205,506,231,59850XZ
77.0,car,0,3,228,523,324,598,,0.0,0,0,0,0,
77.0,car,0,4,321,491,601,726,15277LXV,0.850565434080396,149,162,222,186,15277LXV
78.0,car,0,1,922,547,1450,827,59890Y2,0.054984370284774466,433,208,503,232,59890Y2
78.0,car,0,2,679,552,936,728,,0.0,0,0,0,0,
78.0,car,0,3,227,522,325,600,,0.0,0,0,0,0,
79.0,car,0,1,921,546,1448,827,590302,0.7438915878645629,437,208,501,233,590302
79.0,car,0,2,680,552,937,728,,0.0,0,0,0,0,
79.0,car,0,3,225,524,326,602,,0.0,0,0,0,0,
79.0,car,0,4,320,492,612,729,65277L,0.5269235819813453,161,170,236,195,65277L
80.0,car,0,1,921,547,1447,827,59802,0.7710093678553369,434,205,504,233,59802
80.0,car,0,2,680,552,937,729,,0.0,0,0,0,0,
80.0,car,0,3,225,524,326,602,,0.0,0,0,0,0,
81.0,car,0,1,921,549,1449,829,59030XZ,0.4964882474618842,435,205,504,232,59030XZ
